Rank,Title,Artist,Last Week,Peak Position,Weeks on Chart
1,Luther,Kendrick Lamar & SZA,1,1,19
2,Die With A Smile,Lady Gaga & Bruno Mars,2,1,33
3,Nokia,Drake,7,3,7
4,A Bar Song (Tipsy),Shaboozey,3,1,51
5,Pink Pony Club,Chappell Roan,5,5,42
6,Lose Control,Teddy Swims,6,1,85
7,APT.,ROSE & Bruno Mars,10,3,24
8,Just In Case,Morgan Wallen,4,4,2
9,I'm The Problem,Morgan Wallen,11,2,9
10,Birds Of A Feather,Billie Eilish,12,2,46
11,Beautiful Things,Benson Boone,8,2,62
12,Anxiety,Doechii,14,10,4
13,That's So True,Gracie Abrams,13,6,24
14,Ordinary,Alex Warren,20,14,8
15,Not Like Us,Kendrick Lamar,9,1,47
16,TV Off,Kendrick Lamar Featuring Lefty Gunplay,15,2,19
17,Love Somebody,Morgan Wallen,16,1,24
18,Twilight Zone,Ariana Grande,-,18,1
19,I Had Some Help,Post Malone Featuring Morgan Wallen,19,1,47
20,Espresso,Sabrina Carpenter,18,3,51
21,Mutt,Leon Thomas,28,21,9
22,Messy,Lola Young,23,14,18
23,Squabble Up,Kendrick Lamar,22,1,19
24,30 For 30,SZA With Kendrick Lamar,24,10,15
25,Sports Car,Tate McRae,26,16,10
26,Timeless,The Weeknd & Playboi Carti,21,3,27
27,Taste,Sabrina Carpenter,31,2,32
28,Dark Thoughts,Lil Tecca,32,28,3
29,The Giver,Chappell Roan,29,5,3
30,I'm A Little Crazy,Morgan Wallen,17,17,2
31,I Never Lie,Zach Top,36,31,28
32,Stargazing,Myles Smith,34,19,46
33,Abracadabra,Lady Gaga,38,13,9
34,Denial Is A River,Doechii,33,21,13
35,Rather Lie,Playboi Carti & The Weeknd,25,4,3
36,No One Noticed,The Marias,40,22,27
37,"Good Luck, Babe!",Chappell Roan,37,4,51
38,Dandelion,Ariana Grande,-,38,1
39,Sailor Song,Gigi Perez,39,22,33
40,Bad Dreams,Teddy Swims,42,40,18
41,DTMF,Bad Bunny,41,2,13
42,Intro (End Of The World),Ariana Grande,-,38,3
43,Bed Chem,Sabrina Carpenter,35,14,32
44,Indigo,Sam Barber Featuring Avery Anna,47,42,17
45,Worst Way,Riley Green,52,45,12
46,Wildflower,Billie Eilish,50,17,42
47,Sorry I'm Here For Someone Else,Benson Boone,44,44,5
48,BMF,SZA,45,29,15
49,Residuals,Chris Brown,51,40,30
50,Evil J0rdan,Playboi Carti,27,2,3
51,Good News,Shaboozey,48,47,19
52,Cry For Me,The Weeknd,55,12,9
53,Past Life,Ariana Grande,-,53,1
54,Warm,Ariana Grande,-,54,1
55,Me Jalo,Fuerza Regida & Grupo Frontera,54,54,7
56,Ojos Tristes,"Selena Gomez, benny blanco & The Marias",59,56,2
57,Baile Inolvidable,Bad Bunny,53,3,13
58,Smile,Morgan Wallen,43,4,14
59,Hampstead,Ariana Grande,-,59,1
60,Call Me When You Break Up,"Selena Gomez, benny blanco & Gracie Abrams",46,46,5
61,Revolving Door,Tate McRae,56,22,6
62,Gimme A Hug,Drake,58,6,7
63,Vanish Mode,Lil Durk,-,63,1
64,Somebody Loves Me,PARTYNEXTDOOR & Drake,63,30,7
65,Te Queria Ver,Aleman X Neton Vega,69,65,3
66,Die Trying,"PARTYNEXTDOOR, Drake & Yebba",61,21,7
67,Peekaboo,Kendrick Lamar Featuring AzChike,62,13,19
68,Loco,Neton Vega,64,43,14
69,Weren't For The Wind,Ella Langley,79,69,9
70,Am I Okay?,Megan Moroney,66,59,30
71,Hard Fought Hallelujah,Brandon Lake,75,51,7
72,They Want To Be You,Lil Durk Featuring Future,-,72,1
73,Heart Of A Woman,Summer Walker,73,57,23
74,Like Him,"Tyler, The Creator Featuring Lola Young",74,29,23
75,EOO,Bad Bunny,67,24,11
76,Busy Woman,Sabrina Carpenter,68,27,7
77,Somethin' 'Bout A Woman,Thomas Rhett Featuring Teddy Swims,80,77,2
78,No Pole,Don Toliver,81,66,22
79,Texas,Blake Shelton,86,79,3
80,This Town's Been Too Good To Us,Dylan Scott,70,70,2
81,Love Me Not,Ravyn Lenae,-,81,1
82,Nuevayol,Bad Bunny,78,8,13
83,1000 Times,Lil Durk Featuring Lil Baby,-,83,1
84,Can't Hide It,Lil Durk Featuring Jhene Aiko,-,84,1
85,Are You Even Real,Teddy Swims & GIVEON,88,59,8
86,Feel It,d4vd,-,86,4
87,Friends Like That,John Morgan Featuring Jason Aldean,92,87,2
88,Holy Smokes,Bailey Zimmerman,93,54,11
89,4x4xU,Lainey Wilson,89,45,20
90,Back To Friends,sombr,-,90,1
91,Hometown Home,LOCASH,-,91,1
92,Tweaker,GELO,72,29,13
93,Morena,Neton Vega & Peso Pluma,-,93,1
94,Shaking When I Pray,Lil Durk,-,94,1
95,Fix What You Didn't Break,Nate Smith,-,88,2
96,Keep On Sippin',Lil Durk,-,96,1
97,Headlock,Imogen Heap,95,82,10
98,Little Things,Ella Mai,90,81,5
99,Tattoo,Tito Double P,82,72,5
100,Que Pasaria...,Rauw Alejandro & Bad Bunny,99,34,18
