Title,Artist,Playcount,URL
Aperture,Harry Styles,1214739,https://www.last.fm/music/Harry+Styles/_/Aperture
Stateside + Zara Larsson,PinkPantheress,5692337,https://www.last.fm/music/PinkPantheress/_/Stateside+%252B+Zara+Larsson
End of Beginning,Djo,30490937,https://www.last.fm/music/Djo/_/End+of+Beginning
HELICOPTER,A$AP Rocky,1340414,https://www.last.fm/music/A$AP+Rocky/_/HELICOPTER
Fame Is a Gun,Addison Rae,14788001,https://www.last.fm/music/Addison+Rae/_/Fame+Is+a+Gun
Lush Life,Zara Larsson,11408075,https://www.last.fm/music/Zara+Larsson/_/Lush+Life
The Fate of Ophelia,Taylor Swift,20469801,https://www.last.fm/music/Taylor+Swift/_/The+Fate+of+Ophelia
STOLE YA FLOW,A$AP Rocky,905215,https://www.last.fm/music/A$AP+Rocky/_/STOLE+YA+FLOW
WHERE IS MY HUSBAND!,RAYE,7354318,https://www.last.fm/music/RAYE/_/WHERE+IS+MY+HUSBAND%21
Midnight Sun,Zara Larsson,7285291,https://www.last.fm/music/Zara+Larsson/_/Midnight+Sun
4 Raws,EsDeeKid,6303646,https://www.last.fm/music/EsDeeKid/_/4+Raws
I Thought I Saw Your Face Today,She & Him,5264352,https://www.last.fm/music/She+&+Him/_/I+Thought+I+Saw+Your+Face+Today
back to friends,sombr,20778677,https://www.last.fm/music/sombr/_/back+to+friends
Creep,Radiohead,56892507,https://www.last.fm/music/Radiohead/_/Creep
The Less I Know the Better,Tame Impala,45259857,https://www.last.fm/music/Tame+Impala/_/The+Less+I+Know+the+Better
Playa,A$AP Rocky,652923,https://www.last.fm/music/A$AP+Rocky/_/Playa
Punk Rocky,A$AP Rocky,1532239,https://www.last.fm/music/A$AP+Rocky/_/Punk+Rocky
Order of Protection,A$AP Rocky,681898,https://www.last.fm/music/A$AP+Rocky/_/Order+of+Protection
I Just Might,Bruno Mars,1202147,https://www.last.fm/music/Bruno+Mars/_/I+Just+Might
"Lover, You Should've Come Over",Jeff Buckley,28335698,"https://www.last.fm/music/Jeff+Buckley/_/Lover,+You+Should%27ve+Come+Over"
No One Noticed,The Marías,29748265,https://www.last.fm/music/The+Mar%C3%ADas/_/No+One+Noticed
"Good Luck, Babe!",Chappell Roan,56595887,"https://www.last.fm/music/Chappell+Roan/_/Good+Luck,+Babe%21"
505,Arctic Monkeys,54896688,https://www.last.fm/music/Arctic+Monkeys/_/505
Sienna,The Marías,16850182,https://www.last.fm/music/The+Mar%C3%ADas/_/Sienna
Let Down,Radiohead,37160170,https://www.last.fm/music/Radiohead/_/Let+Down
So Easy (To Fall In Love),Olivia Dean,5165803,https://www.last.fm/music/Olivia+Dean/_/So+Easy+(To+Fall+In+Love)
Every Breath You Take,The Police,24849581,https://www.last.fm/music/The+Police/_/Every+Breath+You+Take
NO TRESPASSING,A$AP Rocky,621516,https://www.last.fm/music/A$AP+Rocky/_/NO+TRESPASSING
Manchild,Sabrina Carpenter,19820516,https://www.last.fm/music/Sabrina+Carpenter/_/Manchild
STAY HERE 4 LIFE (feat. Brent Faiyaz),A$AP Rocky,287968,https://www.last.fm/music/A$AP+Rocky/_/STAY+HERE+4+LIFE+(feat.+Brent+Faiyaz)
Duvet,bôa,38395854,https://www.last.fm/music/b%C3%B4a/_/Duvet
Lovers Rock,TV Girl,47510055,https://www.last.fm/music/TV+Girl/_/Lovers+Rock
Sweater Weather,The Neighbourhood,47499012,https://www.last.fm/music/The+Neighbourhood/_/Sweater+Weather
Man I Need,Olivia Dean,6257050,https://www.last.fm/music/Olivia+Dean/_/Man+I+Need
Gabriela,KATSEYE,15294357,https://www.last.fm/music/KATSEYE/_/Gabriela
DON'T BE DUMB / TRIP BABY,A$AP Rocky,614923,https://www.last.fm/music/A$AP+Rocky/_/DON%27T+BE+DUMB+%2F+TRIP+BABY
Tears,Sabrina Carpenter,12839743,https://www.last.fm/music/Sabrina+Carpenter/_/Tears
Feel Good Inc.,Gorillaz,37590329,https://www.last.fm/music/Gorillaz/_/Feel+Good+Inc.
Iris,The Goo Goo Dolls,28800061,https://www.last.fm/music/The+Goo+Goo+Dolls/_/Iris
BIRDS OF A FEATHER,Billie Eilish,52751064,https://www.last.fm/music/Billie+Eilish/_/BIRDS+OF+A+FEATHER
Sports car,Tate McRae,19726888,https://www.last.fm/music/Tate+McRae/_/Sports+car
Dreams - 2004 Remaster,Fleetwood Mac,26138798,https://www.last.fm/music/Fleetwood+Mac/_/Dreams+-+2004+Remaster
STAY HERE 4 LIFE,A$AP Rocky,602115,https://www.last.fm/music/A$AP+Rocky/_/STAY+HERE+4+LIFE
Dracula,Tame Impala,6795318,https://www.last.fm/music/Tame+Impala/_/Dracula
As It Was,Harry Styles,40491003,https://www.last.fm/music/Harry+Styles/_/As+It+Was
Mr. Brightside,The Killers,48300217,https://www.last.fm/music/The+Killers/_/Mr.+Brightside
Pink + White,Frank Ocean,56918507,https://www.last.fm/music/Frank+Ocean/_/Pink+%252B+White
I Smoked Away My Brain (I'm God x Demons Mashup) (feat. Imogen Heap & Clams Casino),A$AP Rocky,16868838,https://www.last.fm/music/A$AP+Rocky/_/I+Smoked+Away+My+Brain+(I%27m+God+x+Demons+Mashup)+(feat.+Imogen+Heap+&+Clams+Casino)
No Surprises,Radiohead,52504565,https://www.last.fm/music/Radiohead/_/No+Surprises
Into You,Ariana Grande,24982179,https://www.last.fm/music/Ariana+Grande/_/Into+You
All I Need,Radiohead,38770508,https://www.last.fm/music/Radiohead/_/All+I+Need
No Pole,Don Toliver,15632891,https://www.last.fm/music/Don+Toliver/_/No+Pole
Phantom,EsDeeKid,6274241,https://www.last.fm/music/EsDeeKid/_/Phantom
Where's My Phone?,Mitski,891995,https://www.last.fm/music/Mitski/_/Where%27s+My+Phone%3F
Sparks,Coldplay,35795266,https://www.last.fm/music/Coldplay/_/Sparks
Interrogation (Skit),A$AP Rocky,489959,https://www.last.fm/music/A$AP+Rocky/_/Interrogation+(Skit)
LES,Childish Gambino,24498963,https://www.last.fm/music/Childish+Gambino/_/LES
There Is a Light That Never Goes Out - 2011 Remaster,The Smiths,28631288,https://www.last.fm/music/The+Smiths/_/There+Is+a+Light+That+Never+Goes+Out+-+2011+Remaster
Everybody Wants to Rule the World,Tears for Fears,30357705,https://www.last.fm/music/Tears+for+Fears/_/Everybody+Wants+to+Rule+the+World
One Dance,Drake,21261343,https://www.last.fm/music/Drake/_/One+Dance
Locked Out of Heaven,Bruno Mars,24014813,https://www.last.fm/music/Bruno+Mars/_/Locked+Out+of+Heaven
Von dutch,Charli xcx,29679979,https://www.last.fm/music/Charli+xcx/_/Von+dutch
Timeless (Feat Playboi Carti),The Weeknd,12229427,https://www.last.fm/music/The+Weeknd/_/Timeless+(Feat+Playboi+Carti)
Flashing Lights,Kanye West,34751774,https://www.last.fm/music/Kanye+West/_/Flashing+Lights
Headlock,Imogen Heap,24180194,https://www.last.fm/music/Imogen+Heap/_/Headlock
Espresso,Sabrina Carpenter,52829109,https://www.last.fm/music/Sabrina+Carpenter/_/Espresso
That's What I Like,Bruno Mars,16571279,https://www.last.fm/music/Bruno+Mars/_/That%27s+What+I+Like
Purple Rain,Prince,6712124,https://www.last.fm/music/Prince/_/Purple+Rain
12 to 12,sombr,6979972,https://www.last.fm/music/sombr/_/12+to+12
The Chain - 2004 Remaster,Fleetwood Mac,20833185,https://www.last.fm/music/Fleetwood+Mac/_/The+Chain+-+2004+Remaster
AIR FORCE (BLACK DEMARCO),A$AP Rocky,501619,https://www.last.fm/music/A$AP+Rocky/_/AIR+FORCE+(BLACK+DEMARCO)
Adore You,Harry Styles,19512877,https://www.last.fm/music/Harry+Styles/_/Adore+You
Apocalypse,Cigarettes After Sex,39990800,https://www.last.fm/music/Cigarettes+After+Sex/_/Apocalypse
Sailor Song,Gigi Perez,25444643,https://www.last.fm/music/Gigi+Perez/_/Sailor+Song
Golden,HUNTR/X,15217899,https://www.last.fm/music/HUNTR%2FX/_/Golden
Fade Into You,Mazzy Star,31681683,https://www.last.fm/music/Mazzy+Star/_/Fade+Into+You
Borderline,Tame Impala,27334579,https://www.last.fm/music/Tame+Impala/_/Borderline
House Tour,Sabrina Carpenter,9472960,https://www.last.fm/music/Sabrina+Carpenter/_/House+Tour
Linger,The Cranberries,30933320,https://www.last.fm/music/The+Cranberries/_/Linger
The Subway,Chappell Roan,14920240,https://www.last.fm/music/Chappell+Roan/_/The+Subway
Back to the Old House - 2011 Remaster,The Smiths,20976377,https://www.last.fm/music/The+Smiths/_/Back+to+the+Old+House+-+2011+Remaster
Internet Girl,KATSEYE,1915601,https://www.last.fm/music/KATSEYE/_/Internet+Girl
When Did You Get Hot?,Sabrina Carpenter,10177018,https://www.last.fm/music/Sabrina+Carpenter/_/When+Did+You+Get+Hot%3F
All the Things She Said,t.A.T.u.,13499093,https://www.last.fm/music/t.A.T.u./_/All+the+Things+She+Said
Love Me Not,Ravyn Lenae,15530965,https://www.last.fm/music/Ravyn+Lenae/_/Love+Me+Not
See You Again (feat. Kali Uchis),"Tyler, The Creator",54464565,"https://www.last.fm/music/Tyler,+The+Creator/_/See+You+Again+(feat.+Kali+Uchis)"
