Rank,Title,Artist,Last Week,Peak Position,Weeks on Chart
1,Ordinary,Alex Warren,4,1,16
2,What I Want,Morgan Wallen Featuring Tate McRae,1,1,2
3,Just In Case,Morgan Wallen,2,2,10
4,I'm The Problem,Morgan Wallen,3,2,17
5,Luther,Kendrick Lamar & SZA,5,1,27
6,A Bar Song (Tipsy),Shaboozey,9,1,59
7,Die With A Smile,Lady Gaga & Bruno Mars,6,1,41
8,Lose Control,Teddy Swims,11,1,93
9,Nokia,Drake,12,2,15
10,Beautiful Things,Benson Boone,14,2,70
11,Anxiety,Doechii,13,9,12
12,Pink Pony Club,Chappell Roan,16,4,50
13,Birds Of A Feather,Billie Eilish,17,2,54
14,Love Somebody,Morgan Wallen,10,1,32
15,I Got Better,Morgan Wallen,7,7,2
16,I Had Some Help,Post Malone Featuring Morgan Wallen,19,1,55
17,I Ain't Coming Back,Morgan Wallen Featuring Post Malone,15,8,6
18,Mutt,Leon Thomas,18,13,17
19,All The Way,BigXthaPlug Featuring Bailey Zimmerman,23,4,8
20,Superman,Morgan Wallen,8,8,3
21,Espresso,Sabrina Carpenter,24,3,59
22,APT.,ROSE & Bruno Mars,28,3,32
23,20 Cigarettes,Morgan Wallen,20,20,2
24,Blue Strips,Jessie Murph,26,15,7
25,Sports Car,Tate McRae,39,16,18
26,Worst Way,Riley Green,35,26,20
27,Messy,Lola Young,27,14,26
28,Timeless,The Weeknd & Playboi Carti,30,3,35
29,Undressed,sombr,49,29,8
30,Sorry I'm Here For Someone Else,Benson Boone,38,30,13
31,30 For 30,SZA With Kendrick Lamar,33,10,23
32,Bloodline,Alex Warren With Jelly Roll,-,32,1
33,That's So True,Gracie Abrams,36,6,32
34,Weren't For The Wind,Ella Langley,44,34,17
35,Burning Blue,Mariah The Scientist,37,25,4
36,Back To Friends,sombr,62,36,9
37,Love Me Not,Ravyn Lenae,59,37,9
38,TV Off,Kendrick Lamar Featuring Lefty Gunplay,47,2,27
39,No One Noticed,The Marias,43,22,35
40,Am I Okay?,Megan Moroney,56,39,38
41,Abracadabra,Lady Gaga,53,13,17
42,Mystical Magical,Benson Boone,57,40,5
43,Squabble Up,Kendrick Lamar,55,1,27
44,Wildflower,Billie Eilish,58,17,50
45,Eyes Are Closed,Morgan Wallen,22,22,2
46,Good News,Shaboozey,64,34,27
47,Cry For Me,The Weeknd,61,12,17
48,TN,Morgan Wallen,31,31,2
49,Dark Til Daylight,Morgan Wallen,50,49,2
50,Kick Myself,Morgan Wallen,21,21,2
51,I'm A Little Crazy,Morgan Wallen,40,17,10
52,Backup Plan,Bailey Zimmerman & Luke Combs,68,36,4
53,Where'd That Girl Go,Morgan Wallen,32,32,2
54,"Skoal, Chevy, And Browning",Morgan Wallen,29,29,2
55,Falling Apart,Morgan Wallen,25,25,2
56,Dark Thoughts,Lil Tecca,67,28,11
57,Kiss Her In Front Of You,Morgan Wallen,34,34,2
58,If You Were Mine,Morgan Wallen,41,41,2
59,Happen To Me,Russell Dickerson,75,55,6
60,Party 4 U,Charli xcx,71,55,6
61,Azizam,Ed Sheeran,74,28,8
62,Cliche,mgk,-,62,1
63,Somebody Loves Me,PARTYNEXTDOOR & Drake,77,30,15
64,After All The Bars Are Closed,Thomas Rhett,81,62,5
65,Shake It To The Max (Fly),"MOLIY, Silent Addy, Skillibeng & Shenseea",91,65,2
66,Indigo,Sam Barber Featuring Avery Anna,78,40,25
67,Missing,Morgan Wallen,42,42,2
68,Don't We,Morgan Wallen,48,48,2
69,Your Way's Better,Forrest Frank,76,61,6
70,Peekaboo,Kendrick Lamar Featuring AzChike,87,13,27
71,Genesis,Morgan Wallen,46,46,2
72,Jack And Jill,Morgan Wallen,60,60,2
73,Marlboro Rojo,Fuerza Regida,85,73,3
74,Latina Foreva,Karol G,-,74,1
75,Whim Whamiee,PLUTO & YKNIECE,99,75,6
76,Hard Fought Hallelujah,Brandon Lake X Jelly Roll,80,40,15
77,Whiskey Drink,Jason Aldean,93,77,7
78,Miami,Morgan Wallen,65,65,2
79,Me Jalo,Fuerza Regida & Grupo Frontera,89,48,15
80,Revelation,Morgan Wallen,54,54,2
81,Amen,Shaboozey & Jelly Roll,82,64,5
82,House Again,Hudson Westbrook,86,72,6
83,Backseat Driver,Kane Brown,92,67,12
84,Interlude,Morgan Wallen,51,51,2
85,Number 3 And Number 7,Morgan Wallen Featuring Eric Church,52,52,2
86,EOO,Bad Bunny,95,24,19
87,Twilight Zone,Ariana Grande,96,18,9
88,Somewhere Over Laredo,Lainey Wilson,-,88,1
89,Leavin's The Least I Could Do,Morgan Wallen,70,70,2
90,Come Back As A Redneck,Morgan Wallen Featuring HARDY,63,63,2
91,Rather Lie,Playboi Carti & The Weeknd,98,4,11
92,Fix What You Didn't Break,Nate Smith,-,64,9
93,The Dealer,Morgan Wallen Featuring ERNEST,69,69,2
94,Drinking Til It Does,Morgan Wallen,72,72,2
95,Por Esos Ojos,Fuerza Regida,100,64,10
96,The Largest,BigXthaPlug,-,71,18
97,Busy Woman,Sabrina Carpenter,-,27,14
98,Revolving Door,Tate McRae,97,22,14
99,LA Night,Morgan Wallen,79,79,2
100,Feel It,d4vd,-,75,11
