Title,Artist,Playcount,URL
Feel Good Inc.,Gorillaz,32893499,https://www.last.fm/music/Gorillaz/_/Feel+Good+Inc.
The Less I Know the Better,Tame Impala,35177712,https://www.last.fm/music/Tame+Impala/_/The+Less+I+Know+the+Better
like JENNIE,Jennie,4616413,https://www.last.fm/music/Jennie/_/like+JENNIE
Twilight Zone,Ariana Grande,2686058,https://www.last.fm/music/Ariana+Grande/_/Twilight+Zone
Garden of Eden,Lady Gaga,3187617,https://www.last.fm/music/Lady+Gaga/_/Garden+of+Eden
cocaine nose,Playboi Carti,1666731,https://www.last.fm/music/Playboi+Carti/_/cocaine+nose
Casual,Chappell Roan,19804545,https://www.last.fm/music/Chappell+Roan/_/Casual
CRUSH (With Travis Scott),Playboi Carti,1789773,https://www.last.fm/music/Playboi+Carti/_/CRUSH+(With+Travis+Scott)
Sweater Weather,The Neighbourhood,37963938,https://www.last.fm/music/The+Neighbourhood/_/Sweater+Weather
OLYMPIAN,Playboi Carti,2050788,https://www.last.fm/music/Playboi+Carti/_/OLYMPIAN
HBA,Playboi Carti,1857599,https://www.last.fm/music/Playboi+Carti/_/HBA
that’s so true,Gracie Abrams,13427538,https://www.last.fm/music/Gracie+Abrams/_/that%E2%80%99s+so+true
Earfquake,"Tyler, the Creator",30796379,"https://www.last.fm/music/Tyler,+the+Creator/_/Earfquake"
Sailor Song,Gigi Perez,15310053,https://www.last.fm/music/Gigi+Perez/_/Sailor+Song
Money Trees,Kendrick Lamar,27160284,https://www.last.fm/music/Kendrick+Lamar/_/Money+Trees
GOOD CREDIT (with Kendrick Lamar),Playboi Carti,1788357,https://www.last.fm/music/Playboi+Carti/_/GOOD+CREDIT+(with+Kendrick+Lamar)
BACKD00R,Playboi Carti,612737,https://www.last.fm/music/Playboi+Carti/_/BACKD00R
NISSAN ALTIMA,Doechii,6894469,https://www.last.fm/music/Doechii/_/NISSAN+ALTIMA
"STICKY (feat. GloRilla, Sexyy Red & Lil Wayne)","Tyler, the Creator",9654496,"https://www.last.fm/music/Tyler,+the+Creator/_/STICKY+(feat.+GloRilla,+Sexyy+Red+&+Lil+Wayne)"
OPM BABI,Playboi Carti,2052613,https://www.last.fm/music/Playboi+Carti/_/OPM+BABI
EXTRAL (feat. Doechii),Jennie,4862673,https://www.last.fm/music/Jennie/_/EXTRAL+(feat.+Doechii)
APT.,Rosé,18528298,https://www.last.fm/music/Ros%C3%A9/_/APT.
Like Weezy,Playboi Carti,3011429,https://www.last.fm/music/Playboi+Carti/_/Like+Weezy
No Surprises,Radiohead,39135219,https://www.last.fm/music/Radiohead/_/No+Surprises
Juna,Clairo,12068196,https://www.last.fm/music/Clairo/_/Juna
Good Credit,Playboi Carti,653532,https://www.last.fm/music/Playboi+Carti/_/Good+Credit
TOXIC,Playboi Carti,609883,https://www.last.fm/music/Playboi+Carti/_/TOXIC
CHIHIRO,Billie Eilish,21397144,https://www.last.fm/music/Billie+Eilish/_/CHIHIRO
disease,Lady Gaga,10605833,https://www.last.fm/music/Lady+Gaga/_/disease
BACKD00R (feat. Kendrick Lamar & Jhené Aiko),Playboi Carti,1633576,https://www.last.fm/music/Playboi+Carti/_/BACKD00R+(feat.+Kendrick+Lamar+&+Jhen%C3%A9+Aiko)
Iris,The Goo Goo Dolls,15469123,https://www.last.fm/music/The+Goo+Goo+Dolls/_/Iris
PHILLY (with Travis Scott),Playboi Carti,1370911,https://www.last.fm/music/Playboi+Carti/_/PHILLY+(with+Travis+Scott)
Linger,The Cranberries,23196761,https://www.last.fm/music/The+Cranberries/_/Linger
squabble up,Kendrick Lamar,9549267,https://www.last.fm/music/Kendrick+Lamar/_/squabble+up
DIS 1 GOT IT,Playboi Carti,1370155,https://www.last.fm/music/Playboi+Carti/_/DIS+1+GOT+IT
Nokia,Drake,3176312,https://www.last.fm/music/Drake/_/Nokia
Bags,Clairo,24428321,https://www.last.fm/music/Clairo/_/Bags
Apple,Charli XCX,16955510,https://www.last.fm/music/Charli+XCX/_/Apple
Dandelion,Ariana Grande,2138468,https://www.last.fm/music/Ariana+Grande/_/Dandelion
Kill Bill,SZA,37288045,https://www.last.fm/music/SZA/_/Kill+Bill
My Love Mine All Mine,Mitski,38972874,https://www.last.fm/music/Mitski/_/My+Love+Mine+All+Mine
Ivy,Frank Ocean,33922858,https://www.last.fm/music/Frank+Ocean/_/Ivy
The Perfect Pair,beabadoobee,20121728,https://www.last.fm/music/beabadoobee/_/The+Perfect+Pair
Walk,Playboi Carti,1391806,https://www.last.fm/music/Playboi+Carti/_/Walk
SOUTH ATLANTA BABY,Playboi Carti,1268503,https://www.last.fm/music/Playboi+Carti/_/SOUTH+ATLANTA+BABY
Dreams - 2004 Remaster,Fleetwood Mac,18249359,https://www.last.fm/music/Fleetwood+Mac/_/Dreams+-+2004+Remaster
I Wanna Be Yours,Arctic Monkeys,32124939,https://www.last.fm/music/Arctic+Monkeys/_/I+Wanna+Be+Yours
overly,Playboi Carti,1515603,https://www.last.fm/music/Playboi+Carti/_/overly
the boy is mine,Ariana Grande,18975571,https://www.last.fm/music/Ariana+Grande/_/the+boy+is+mine
CHARGE DEM HOES A FEE,Playboi Carti,482134,https://www.last.fm/music/Playboi+Carti/_/CHARGE+DEM+HOES+A+FEE
